127.0.0.1 - - [09/Apr/2024:14:42:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:05 +0530] "GET /Lab/ HTTP/1.1" 200 19013
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/plugins/slick-carousel/slick/slick.css HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155764
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/plugins/icofont/icofont.min.css HTTP/1.1" 200 92214
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/plugins/slick-carousel/slick/slick-theme.css HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/css/style.css HTTP/1.1" 200 23687
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/images/logo.png HTTP/1.1" 200 32495
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/plugins/jquery/jquery.js HTTP/1.1" 200 69919
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/images/about/img-2.jpg HTTP/1.1" 200 57717
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/images/about/img-1.jpg HTTP/1.1" 200 51158
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/images/about/img-3.jpg HTTP/1.1" 200 45213
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 58078
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/plugins/bootstrap/js/popper.js HTTP/1.1" 200 21011
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/plugins/counterup/jquery.easing.js HTTP/1.1" 200 9591
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/plugins/counterup/jquery.waypoints.min.js HTTP/1.1" 200 9034
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/plugins/slick-carousel/slick/slick.min.js HTTP/1.1" 200 44456
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/plugins/shuffle/shuffle.min.js HTTP/1.1" 200 19832
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/plugins/counterup/jquery.counterup.min.js HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/js/script.js HTTP/1.1" 200 3782
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/plugins/google-map/map.js HTTP/1.1" 200 2915
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/js/contact.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/images/team/test-thumb1.jpg HTTP/1.1" 200 30775
0:0:0:0:0:0:0:1 - - [09/Apr/2024:14:43:09 +0530] "GET /Lab/front-end/images/team/test-thumb2.jpg HTTP/1.1" 200 30007
